가구원수,가구주연령,소득,소득분위
1.66,59.93,328539,1
1.59,61.47,359373,1
1.56,62.29,334742,1
1.53,62.01,377784,1
1.58,63.36,345667,1
1.57,62.32,343155,1
1.54,63.02,382345,1
1.49,63.26,358607,1
1.51,63.19,343812,1
1.47,63.09,347527,1
1.45,62.69,370862,1
1.43,63.81,356905,1
1.49,62.81,301138,1
1.47,63.78,314182,1
1.45,62.96,311392,1
1.4,61.46,350227,1
1.42,61.35,329672,1
1.38,62.5,347923,1
1.41,63.07,365684,1
1.43,63.76,335867,1
1.45,63.81,363398,1
1.45,64.63,383044,1
1.41,65.33,387347,1
1.42,66.01,369967,1
1.42,65.62,385923,1
1.4,66.67,431852,1
1.38,67.09,423825,1
1.41,67.25,394803,1
1.37,67.05,402599,1
1.39,67.14,408329,1
1.37,67.67,412875,1
1.34,68.38,395503,1
1.32,67.7,390622,1
1.33,66.7,382436,1
1.32,66.67,478244,1
1.33,67.25,450772,1
1.29,67.59,484437,1
1.24,67.68,498680,1
1.24,67.89,517959,1
1.29,67.05,477487,1
1.3,65.98,456572,1
1.29,66.48,446536,1
1.31,66.56,471122,1
1.33,68.07,442766,1
1.27,68.76,493773,1
1.26,69.54,513912,1
1.24,69.83,481562,1
1.26,68.84,531149,1
1.27,69.2,414188,1
1.24,68.38,414793,1
1.27,68.33,446767,1
1.28,67.5,407949,1
1.29,67.66,426846,1
1.3,67.17,445853,1
1.27,67.46,443821,1
1.28,68.78,431087,1
2.07,55.4,859026,2
1.99,55.34,864908,2
1.98,56.63,840533,2
2.01,55.7,903494,2
1.97,55.92,861827,2
1.94,56.42,865609,2
1.96,56.73,901865,2
1.95,57.36,873543,2
1.82,58.53,855989,2
1.79,57.39,828582,2
1.8,59.32,893588,2
1.87,58.59,884320,2
1.78,59.02,807783,2
1.72,58.89,840908,2
1.81,58.08,849911,2
1.78,57.38,889695,2
1.77,58.57,882193,2
1.76,58.43,920831,2
1.78,58.57,949031,2
1.77,58.6,936978,2
1.77,58.92,953647,2
1.74,59.93,990409,2
1.73,59.76,1004980,2
1.75,60.07,982933,2
1.7,60.87,987852,2
1.78,60.38,1058813,2
1.7,60.46,1082779,2
1.73,61.01,1035855,2
1.69,62.33,1039374,2
1.67,63.01,1033771,2
1.72,62.99,1081503,2
1.7,63.35,1061226,2
1.63,63.73,1032622,2
1.62,62.89,1008922,2
1.62,63.06,1111027,2
1.63,63.35,1081207,2
1.54,63.01,1071829,2
1.5,62.75,1096002,2
1.61,63.83,1117565,2
1.56,64.19,1077952,2
1.5,65.72,1037585,2
1.56,65.78,1037252,2
1.55,65.51,1053382,2
1.52,63.8,1008078,2
1.56,65.79,1026799,2
1.56,65.15,1065426,2
1.54,66.49,1047239,2
1.53,66.4,1123903,2
1.45,66.58,890513,2
1.48,66.75,901587,2
1.51,67.23,934963,2
1.53,67.05,898039,2
1.49,67.03,888871,2
1.41,67.7,917871,2
1.43,68.96,957152,2
1.48,68.74,928619,2
2.48,49.03,1331784,3
2.44,48.79,1321823,3
2.4,48.35,1288696,3
2.4,49.81,1374063,3
2.43,49.68,1330434,3
2.38,49.31,1362372,3
2.39,49.9,1396567,3
2.39,50.99,1379484,3
2.34,50.42,1338399,3
2.27,51.86,1337990,3
2.35,51.52,1420700,3
2.31,51.48,1400098,3
2.23,52.46,1338704,3
2.23,52.66,1351793,3
2.2,52.12,1377457,3
2.38,52.74,1418253,3
2.25,52.75,1440683,3
2.22,51.88,1487413,3
2.19,53.28,1500432,3
2.19,52.48,1506708,3
2.18,52.81,1535544,3
2.21,51.95,1581344,3
2.2,52.16,1605465,3
2.17,51.5,1613772,3
2.14,52.5,1595508,3
2.13,51.53,1664247,3
2.12,52.68,1698359,3
2.12,53.1,1664736,3
2.08,54.64,1678468,3
2.14,54.41,1683031,3
2.06,54.4,1712541,3
2.15,54.34,1712395,3
2.02,55.66,1672544,3
2.03,55.15,1691151,3
1.97,54.43,1738889,3
2.02,53.68,1708311,3
1.93,54.47,1692536,3
1.93,55.99,1697969,3
1.88,54.87,1747903,3
1.95,55.48,1713439,3
1.85,56.66,1643716,3
1.86,56.63,1661581,3
1.82,56.63,1686902,3
1.83,57.2,1619049,3
1.75,58.07,1626336,3
1.78,56.41,1637448,3
1.82,57.85,1623494,3
1.76,58.55,1694280,3
1.78,60.41,1473502,3
1.76,60.42,1493842,3
1.73,59.94,1519505,3
1.74,61.02,1459146,3
1.77,62.74,1464560,3
1.77,61.67,1512073,3
1.78,62.08,1580282,3
1.77,61.48,1547592,3
2.85,45.34,1745688,4
2.83,45.54,1729572,4
2.79,46.4,1740712,4
2.86,46.35,1809063,4
2.7,46.4,1792082,4
2.79,46.3,1827718,4
2.75,46.68,1862335,4
2.77,46.3,1862759,4
2.68,46.5,1835448,4
2.75,46.09,1840095,4
2.64,47.3,1915547,4
2.72,47.86,1878255,4
2.62,47.62,1817232,4
2.71,47.69,1843719,4
2.69,49.21,1884535,4
2.72,48.11,1964563,4
2.73,48.07,1972559,4
2.66,47.23,2020057,4
2.61,47,2061016,4
2.62,46.95,2041792,4
2.72,47.59,2111828,4
2.62,47.56,2132693,4
2.59,47.8,2177229,4
2.62,47.9,2197704,4
2.55,49.21,2230242,4
2.68,48.34,2274121,4
2.67,48.77,2328573,4
2.72,49.16,2286960,4
2.65,50.2,2285124,4
2.58,48.72,2331848,4
2.65,49.16,2372098,4
2.65,48.73,2369950,4
2.47,50.2,2333513,4
2.52,49.2,2333398,4
2.53,50.49,2398882,4
2.52,49.66,2378264,4
2.39,51.89,2360961,4
2.34,50.82,2357157,4
2.39,51.56,2410145,4
2.31,50.49,2355504,4
2.26,52.46,2306297,4
2.26,52.25,2317799,4
2.19,52.43,2333658,4
2.22,52.23,2280048,4
2.14,53.57,2217923,4
2.08,54.45,2209816,4
2.07,53.51,2219788,4
2.14,53.13,2282406,4
2.07,54.87,2074216,4
2.07,53.83,2142236,4
2.01,54.31,2173204,4
1.98,53.41,2090524,4
1.97,54.7,2131082,4
2.03,53.9,2181029,4
2.03,54.45,2283784,4
2.01,53.93,2234534,4
3.1,44.73,2173110,5
3.06,44.84,2150125,5
3.06,44.72,2160265,5
2.95,44.33,2229613,5
2.97,45.96,2234836,5
2.98,46.14,2254419,5
2.97,45.76,2310086,5
3,45.87,2310973,5
2.93,45.77,2307638,5
3.03,45.84,2280898,5
2.99,46.26,2375000,5
2.99,45.54,2348346,5
3.04,46.03,2284044,5
3.04,45.84,2305842,5
3.03,44.74,2394138,5
2.98,45.4,2481290,5
2.95,46.31,2491313,5
3.06,45.56,2532370,5
3.06,46.71,2614894,5
3,46.39,2590324,5
3.06,46.37,2671346,5
2.99,46.32,2691948,5
2.99,46.67,2760193,5
2.97,46.43,2767628,5
3.01,46.78,2841186,5
3,46.14,2863153,5
3.06,47.18,2930285,5
2.99,46.58,2888158,5
2.94,47.6,2893939,5
3.01,46.65,2925254,5
