,나라,수출건수,수출금액,수입건수,수입금액,무역수지,인구,채무율
2011,미국,719599,56207703,4137884,44569029,11638673,330425184,130.883
2011,일본,629167,39679706,946410,68320170,-28640464,125960000,222.043
2011,멕시코,101660,9729059,39857,2315698,7413361,126200000,37.141
2011,독일,143401,9500927,532021,16962579,-7461652,83783942,87.358
2011,호주,103411,8163845,188121,26316304,-18152459,25371700,46.293
2011,프랑스,48820,5707388,101917,6314947,-607560,65273511,103.807
2011,터키,48072,5070997,10996,804624,4266373,83103882,43.93
2011,영국,71918,4969095,169194,3818089,1151006,67886011,103.326
2011,네덜란드,62346,4626981,38309,4425509,201472,17320400,73.724
2011,이탈리아,55274,4107495,141449,4373924,-266429,60461826,117.18
2011,스페인,36172,1856558,25964,1161712,694847,46754778,78.339
2011,그리스,8471,1349593,2364,90891,1258702,10741165,111.363
2011,스위스,10729,1130414,43474,2555059,-1424645,8542323,43.023
2011,스웨덴,17827,1042835,32561,2143525,-1100690,10255102,53.825
2011,오스트리아,16638,838490,36509,1330007,-491518,8859992,91.474
2011,노르웨이,6119,666394,17856,2594863,-1928469,5334762,34.721
2011,덴마크,9142,437664,22267,714520,-276856,5811413,60.111
2012,미국,750261,58524559,4574710,43340962,15183597,330425184,132.599
2012,일본,653147,38796057,902036,64363080,-25567023,125960000,230.137
2012,호주,106750,9250485,179883,22987917,-13737432,126200000,41.13
2012,멕시코,108304,9042360,44702,2591566,6450793,83783942,90.431
2012,독일,146742,7509691,683324,17645374,-10135682,25371700,59.239
2012,네덜란드,61907,5058782,39377,3994092,1064689,65273511,111.938
2012,영국,74285,4896879,188275,6366770,-1469891,83103882,41.249
2012,터키,45626,4551618,12228,672311,3879307,67886011,107.397
2012,이탈리아,53765,3261663,155925,4828203,-1566539,17320400,79.459
2012,프랑스,50720,2598779,115221,4924008,-2325229,60461826,135.288
2012,그리스,8456,1908660,2147,247827,1660833,46754778,93.456
2012,스페인,36239,1668338,29030,1293246,375092,10741165,165.438
2012,노르웨이,5665,1061510,19562,5094367,-4032856,8542323,43.807
2012,오스트리아,21102,838481,39765,1261890,-423408,10255102,55.145
2012,스웨덴,18926,788768,30579,1455723,-666955,8859992,97.338
2012,스위스,10757,401766,42884,2581096,-2179331,5334762,35.875
2012,덴마크,9325,349836,21951,748643,-398807,5811413,60.615
2013,미국,807522,62052488,5767864,41511916,20540572,330425184,136.193
2013,일본,656142,34662290,979640,60029355,-25367065,125960000,232.983
2013,멕시코,115902,9727377,52837,2300742,7426635,126200000,47.108
2013,호주,114588,9563090,175026,20784616,-11221526,83783942,85.614
2013,독일,153467,7907865,848163,19335968,-11428104,25371700,55.71
2013,터키,56634,5657826,14455,691870,4965956,65273511,112.468
2013,네덜란드,76420,5512228,42116,4213728,1298500,83103882,34.544
2013,영국,81662,4727085,229580,6193715,-1466631,67886011,103.232
2013,프랑스,52072,3487970,127525,6012939,-2524969,17320400,78.914
2013,이탈리아,55348,3125722,177898,5383466,-2257744,60461826,142.924
2013,스페인,37259,1682123,35352,1597030,85093,46754778,106.557
2013,노르웨이,6085,1539407,22585,3655683,-2116276,10741165,181.326
2013,덴마크,9961,1273631,23375,918943,354688,8542323,43.077
2013,그리스,9081,884206,2082,272244,611961,10255102,57.995
2013,스웨덴,17482,872971,33786,1624890,-751919,8859992,94.36
2013,스위스,10976,872192,44311,2715495,-1843303,5334762,36.462
2013,오스트리아,21483,606904,36264,1382572,-775668,5811413,56.732
2014,미국,838277,70284872,6657290,45283254,25001618,330425184,135.482
2014,일본,688129,32183788,1067806,53768313,-21584525,125960000,238.18
2014,멕시코,129349,10846018,63386,3268495,7577522,126200000,50.052
2014,호주,112629,10282512,192462,20413019,-10130507,83783942,85.544
2014,독일,152108,7570926,1156318,21298750,-13727825,25371700,61.368
2014,터키,64518,6664732,17409,655159,6009573,65273511,120.155
2014,영국,84901,5782610,236412,7446596,-1663986,83103882,33.404
2014,네덜란드,83868,5296459,47815,4605487,690972,67886011,113.265
2014,이탈리아,58297,3473076,216296,6260922,-2787846,17320400,83.286
2014,프랑스,54172,2639283,140329,6823519,-4184236,60461826,155.452
2014,덴마크,11083,2232440,25842,994309,1238131,46754778,119.473
2014,스페인,40761,2068471,63018,2887540,-819068,10741165,182.31
2014,노르웨이,6163,1669793,24023,2841303,-1171510,8542323,43.137
2014,그리스,9751,1048668,2368,411435,637233,10255102,64.197
